location,day,meal,zone,dish,ingredients
Segundo Dining Commons,Sunday,Breakfast,Red,Waffle Bar,
Segundo Dining Commons,Sunday,Breakfast,Red,Scrambled Egg,
Segundo Dining Commons,Sunday,Breakfast,Red,Chicken Breakfast Sausage,
Segundo Dining Commons,Sunday,Breakfast,Red,Seasoned Wedge Fries,
Segundo Dining Commons,Sunday,Breakfast,Yellow,Build Your Own Omelette,
Segundo Dining Commons,Sunday,Breakfast,Yellow,Build Your Own Veggie Omelette,
Segundo Dining Commons,Sunday,Breakfast,Yellow,Fried Eggs to Order,
Segundo Dining Commons,Sunday,Breakfast,Yellow,Scrambled Egg Whites,
Segundo Dining Commons,Sunday,Breakfast,Yellow,Scrambled Tofu,
Segundo Dining Commons,Sunday,Breakfast,Yellow,Just Egg - Plant Based,
Segundo Dining Commons,Sunday,Breakfast,Green,Overnight Oats,
Segundo Dining Commons,Sunday,Breakfast,Green,Oatmeal,
Segundo Dining Commons,Sunday,Breakfast,Green,Boiled Eggs,
Segundo Dining Commons,Sunday,Breakfast,Green,Sticky Rice,
Segundo Dining Commons,Sunday,Breakfast,Green,Congee Rice Porridge,
Segundo Dining Commons,Sunday,Breakfast,Green,BYO Parfait,
Segundo Dining Commons,Sunday,Breakfast,Pink,Banana Nut Muffin,
Segundo Dining Commons,Sunday,Breakfast,Pink,Blueberry Muffin,
Segundo Dining Commons,Sunday,Breakfast,Pink,Sesame Bagel,
Segundo Dining Commons,Sunday,Breakfast,Pink,Plain Bagel,
Segundo Dining Commons,Sunday,Lunch,Red,Italian Grilled Chicken Sandwich,
Segundo Dining Commons,Sunday,Lunch,Red,Falafel Sub,
Segundo Dining Commons,Sunday,Lunch,Red,Shoestring Potatoes,
Segundo Dining Commons,Sunday,Lunch,Yellow,Pepperoni Pizza,
Segundo Dining Commons,Sunday,Lunch,Yellow,Cheese Pizza,
Segundo Dining Commons,Sunday,Lunch,Green,Salad Bar,
Segundo Dining Commons,Sunday,Lunch,Green,Deli Bar,
Segundo Dining Commons,Sunday,Lunch,Green,Tuna Salad,
Segundo Dining Commons,Sunday,Lunch,Green,Mexican Chicken Tortilla Soup,
Segundo Dining Commons,Sunday,Lunch,Green,Tuscan Mushroom Bean Soup,
Segundo Dining Commons,Sunday,Lunch,Purple,Pork Carnitas Taco,
Segundo Dining Commons,Sunday,Lunch,Purple,White Beans with Kale,
Segundo Dining Commons,Sunday,Lunch,Purple,Assorted Vegetables,
Segundo Dining Commons,Sunday,Lunch,Purple,White and Wild Rice Blend,
Segundo Dining Commons,Sunday,Dinner,Red,Grass-Fed Cheeseburger,
Segundo Dining Commons,Sunday,Dinner,Red,Fried Oyster Mushrooms with Dragon Sauce,
Segundo Dining Commons,Sunday,Dinner,Red,Jasmine Rice,
Segundo Dining Commons,Sunday,Dinner,Red,Shoestring Potatoes,
Segundo Dining Commons,Sunday,Dinner,Yellow,Pollo Loco Burrito,
Segundo Dining Commons,Sunday,Dinner,Yellow,"Sour Cream, Roasted Salsa",
Segundo Dining Commons,Sunday,Dinner,Yellow,Pepperoni Pizza,
Segundo Dining Commons,Sunday,Dinner,Yellow,Cheese Pizza,
Segundo Dining Commons,Sunday,Dinner,Green,Salad Bar,
Segundo Dining Commons,Sunday,Dinner,Green,Deli Bar,
Segundo Dining Commons,Sunday,Dinner,Green,Mexican Chicken Tortilla Soup,
Segundo Dining Commons,Sunday,Dinner,Green,Tuscan Mushroom Bean Soup,
Segundo Dining Commons,Sunday,Dinner,Purple,Chicken Inasal,
Segundo Dining Commons,Sunday,Dinner,Purple,White Beans with Kale,
Segundo Dining Commons,Sunday,Dinner,Purple,Citrus Agave Glazed Carrots,
Segundo Dining Commons,Sunday,Dinner,Purple,White and Wild Rice Blend,
Segundo Dining Commons,Monday,Breakfast,Red,Scrambled Egg,
