location,day,meal,zone,dish,ingredients
Tercero Dining Commons,Monday,Breakfast,Yellow,Build Your Own Omelette || Fried Eggs to Order,
Tercero Dining Commons,Monday,Breakfast,Yellow,Build Your Own Veggie Omelette,
Tercero Dining Commons,Monday,Breakfast,Yellow,Fried Eggs to Order,
Tercero Dining Commons,Monday,Breakfast,Yellow,Scrambled Egg Whites,
Tercero Dining Commons,Monday,Breakfast,Yellow,Scrambled Tofu || Just Egg - Plant Based,
Tercero Dining Commons,Monday,Breakfast,Yellow,Just Egg - Plant Based,
Tercero Dining Commons,Monday,Breakfast,Blue,Scrambled Egg,
Tercero Dining Commons,Monday,Breakfast,Blue,Pancake Bar,
Tercero Dining Commons,Monday,Breakfast,Blue,Sticky Rice,
Tercero Dining Commons,Monday,Breakfast,Blue,Chorizo Sausage Patties,
Tercero Dining Commons,Monday,Breakfast,Blue,Fried Tater Tots,
Tercero Dining Commons,Monday,Breakfast,Blue,Pancake Bar,
Tercero Dining Commons,Monday,Breakfast,Green,Overnight Oats,
Tercero Dining Commons,Monday,Breakfast,Green,Oatmeal,
Tercero Dining Commons,Monday,Breakfast,Green,Boiled Eggs,
Tercero Dining Commons,Monday,Breakfast,Green,Congee Rice Porridge,
Tercero Dining Commons,Monday,Breakfast,Green,BYO Parfait,
Tercero Dining Commons,Monday,Breakfast,Pink,Assorted Loaf Cakes,
Tercero Dining Commons,Monday,Breakfast,Pink,Raised Chocolate Donut,
Tercero Dining Commons,Monday,Breakfast,Pink,Old Fashioned Plain Donut,
Tercero Dining Commons,Monday,Breakfast,Pink,Cinnamon Sugar Cake Donut,
Tercero Dining Commons,Monday,Breakfast,Pink,Coconut Cake Donut,
Tercero Dining Commons,Monday,Breakfast,Pink,Blueberry Muffin,
Tercero Dining Commons,Monday,Breakfast,Pink,Cinnamon Rolls with Cream Cheese Frosting,
Tercero Dining Commons,Monday,Breakfast,Pink,Everything Bagel,
Tercero Dining Commons,Monday,Breakfast,Pink,Plain Bagel,
Tercero Dining Commons,Monday,Lunch,Red,Grass-Fed Cheeseburger,
Tercero Dining Commons,Monday,Lunch,Red,Malibu Burger,
Tercero Dining Commons,Monday,Lunch,Red,Shoestring Potatoes,
Tercero Dining Commons,Monday,Lunch,Green,Salad Bar,
Tercero Dining Commons,Monday,Lunch,Green,Deli Bar,
Tercero Dining Commons,Monday,Lunch,Green,Picnic Potato Salad,
Tercero Dining Commons,Monday,Lunch,Green,Sicilian Pasta Salad,
Tercero Dining Commons,Monday,Lunch,Green,Tuna Salad,
Tercero Dining Commons,Monday,Lunch,Green,Traditional Hummus,
Tercero Dining Commons,Monday,Lunch,Green,Minestrone,
Tercero Dining Commons,Monday,Lunch,Green,Chicken Tikka Masala Soup,
Tercero Dining Commons,Monday,Lunch,Pink,Dessert Lemon Bar,
Tercero Dining Commons,Monday,Lunch,Pink,Chocolate Ganache Swirl Cheesecake,
Tercero Dining Commons,Monday,Lunch,Pink,Dark Chocolate Cranberry Cookie,
Tercero Dining Commons,Monday,Lunch,Pink,Macadamias with White Chocolate Chips Cookie,
Tercero Dining Commons,Monday,Lunch,Pink,Chocolate Chip Cookie,
Tercero Dining Commons,Monday,Lunch,Pink,Lemon Drop Cookie,
Tercero Dining Commons,Monday,Dinner,Red,Grass-Fed Cheeseburger,
Tercero Dining Commons,Monday,Dinner,Red,Malibu Burger,
Tercero Dining Commons,Monday,Dinner,Red,Shoestring Potatoes,
Tercero Dining Commons,Monday,Dinner,Yellow,Ravioli with Roasted Aggie-Grown Tomato Sauce,
Tercero Dining Commons,Monday,Dinner,Yellow,Breadsticks,
Tercero Dining Commons,Monday,Dinner,Yellow,Ranch Chicken Pizza,
Tercero Dining Commons,Monday,Dinner,Yellow,Mushroom and Onion Pizza,
Tercero Dining Commons,Monday,Dinner,Blue,Quesabirria Tacos,
Tercero Dining Commons,Monday,Dinner,Blue,Sweet Potato Rolled Tacos,
Tercero Dining Commons,Monday,Dinner,Blue,Sweet Potato Rolled Tacos,
Tercero Dining Commons,Monday,Dinner,Green,Salad Bar,
Tercero Dining Commons,Monday,Dinner,Green,Deli Bar,
Tercero Dining Commons,Monday,Dinner,Green,Chipotle Bacon Potato Salad,
Tercero Dining Commons,Monday,Dinner,Green,Asiago Pasta Salad,
Tercero Dining Commons,Monday,Dinner,Green,Tuna Salad,
Tercero Dining Commons,Monday,Dinner,Green,Traditional Hummus,
Tercero Dining Commons,Monday,Dinner,Green,Minestrone,
